id,duration,ideal,delay
low_96,112.0,48.8,63.2
low_86,213.0,117.4,95.6
low_198,110.0,59.6,50.4
low_150,264.0,158.8,105.2
low_215,225.0,124.9,100.1
low_255,288.0,148.8,139.2
low_254,322.0,152.1,169.9
low_520,102.0,67.6,34.4
peak_72,46.0,21.5,24.5
peak_176,83.0,62.3,20.7
peak_62,302.0,126.1,175.9
peak_255,217.0,148.8,68.2
peak_300,234.0,114.3,119.7
peak_203,333.0,176.0,157.0
peak_469,214.0,125.0,89.0
peak_929,128.0,67.4,60.6
peak_892,227.0,82.3,144.7
peak_125,615.0,210.7,404.3
peak_1229,164.0,94.8,69.2
peak_1105,245.0,128.2,116.8
peak_1706,141.0,68.9,72.1
peak_1335,352.0,214.0,138.0
peak_1984,113.0,73.7,39.3
peak_1893,165.0,99.1,65.9
peak_2216,146.0,49.6,96.4
peak_2365,128.0,88.1,39.9
peak_777,974.0,198.5,775.5
peak_1542,595.0,65.9,529.1
peak_2289,572.0,110.9,461.1
peak_2286,637.0,97.4,539.6
mod_876,112.0,77.8,34.2
mod_709,346.0,110.5,235.5
