minute,arrived
1,0
2,3
3,235
4,1043
5,2220
6,3725
7,5446
8,6509
9,7899
10,9698
11,11201
12,13021
13,14905
14,16660
15,18844
16,20384
17,22124
18,23953
19,25836
20,27463
21,28952
22,31175
23,34126
24,37371
25,42010
26,46048
27,50477
28,56071
29,61355
30,66498
31,72118
32,77170
33,81713
34,86162
35,89910
36,94646
37,99693
38,104028
39,108067
40,111450
41,114844
42,118150
43,122301
44,125715
45,128774
46,131293
47,134172
48,136980
49,139051
50,140957
51,143153
52,146135
53,148925
54,151116
55,152739
56,154865
57,157550
58,159270
59,160379
